id,name,water,serum,cream,oil,balm
A000000192697,[2023어워즈/3년연속] 아누아 어성초 77 수딩 토너 350ml 어워즈 한정 기획 (본품+리필팩+진정마스크1매),1,0,0,0,0
A000000192752,[2023어워즈/4년연속] 라운드랩 1025 독도 토너 500ml 어워즈 한정기획(+크림50ml+패드10매),1,0,1,0,0
A000000155253,[2023어워즈] 아비브 어성초 카밍 토너 스킨부스터 더블 기획 (200ml+200ml),1,0,0,0,0
A000000192545,브링그린 티트리시카  수딩 토너 500ml 어워즈 한정기획(+크림20ml+징크테카세럼 7ml),1,1,1,0,0
A000000174370,바이오더마 하이드라비오 토너 500ml,1,0,0,0,0
A000000191246,[탄력광채] 넘버즈인 3번 결광가득 에센스 토너 200ml 기획 (+50ml 증정),1,1,0,0,0
A000000170266,[단독기획] 토리든 다이브인 저분자 히알루론산 토너 300ml 기획(+100ml 추가 증정),1,0,0,0,0
A000000189455,[리뉴업]더랩바이블랑두 저분자 히알루론산 딥 토너 리필 캔 기획 (500ml + 238ml),1,0,0,0,0
A000000154177,[증량] 닥터지 레드 블레미쉬 클리어 수딩 토너 500ml,1,0,0,0,0
A000000132162,라운드랩 1025 독도 토너 (본품200ml+50ml 추가 증정),1,0,0,0,0
A000000141881,이즈앤트리 히아루론산 토너 더블 기획 (400ml+400ml),1,0,0,0,0
A000000177757,[피지진정] 넘버즈인 1번 진정 맑게담은 청초토너 300ml 기획 (+1번 패드 10매 증정),1,0,0,0,0
A000000161355,[화해1위] 에스네이처 아쿠아 오아시스 토너 300ml 기획(+ 수분크림30ml증정),1,0,1,0,0
A000000179724,성분에디터 그린토마토 포어 리프팅 앰플 토너 350ml+100ml 기획,1,1,0,0,0
A000000166383,김정문알로에 큐어 워터 젤리 토너 기획 세트 500ml+50ml[대용량기획],1,0,0,0,0
A000000137180,[대용량] 라운드랩 1025 독도 토너 (본품500ml+100ml 추가 증정),1,0,0,0,0
A000000157178,라운드랩 자작나무 수분 토너 1+1 기획 (300ml+300ml),1,0,0,0,0
A000000166435,아벤느 젠틀 토닝 로션 200ml 듀오 기획,0,1,0,0,0
A000000188874,[단독기획]웰라쥬 리얼 히알루로닉 100 토너 300ml 기획 (+화장솜 60매),1,0,0,0,0
A000000182646,[단독기획] 라네즈 크림스킨 170ml 기획 (+50ml),1,0,1,0,0
A000000159263,[단독기획] 마몽드 로즈워터 토너 250ml 기획 (화장솜+50ML 추가증정),1,0,0,0,0
A000000178002,에스트라 에이시카365 수분진정결토너 250ml 기획(+토너 50ml 증정),1,0,0,0,0
A000000148285,[회사원A pick]마녀공장 비피다 바이옴 앰플 토너 400ml+100ml 기획,1,1,0,0,0
A000000147313,리얼베리어 익스트림 에센스 토너 300ml,1,1,0,0,0
A000000139348,라로슈포제 똘러리앙 울트라 로션 400ML,0,1,0,0,0
A000000147339,[찐진정 토너] 아누아 어성초 77% 토너 350ml,1,0,0,0,0
A000000143458,마녀공장 갈락 클리어스킨 투명광채 토너 210ml,1,0,0,0,0
A000000182583,[엔하이픈/제이크Pick]닥터자르트 시카페어 인텐시브 수딩 리페어 트리트먼트 로션 기획(150ml+30ml*2ea),0,1,0,0,0
A000000116659,유리아쥬 제모스 토너 500ml,1,0,0,0,0
A000000182787,파티온 노스카나인 트러블 클리어 토너 200ml,1,0,0,0,0
A000000193236,헤이네이처 어성초 스킨 토너 150ml 기획(+카밍 토너패드 5매),1,0,0,0,0
A000000185109,브링그린 티트리시카수딩토너 250mL_NEW,1,0,0,0,0
A000000149122,바버501 애프터 쉐이브 165ml 2종 택1,0,0,0,0,0
A000000104167,크리니크 클래리파잉 로션 투와이스 어 데이 엑스폴리에이터 2 200ml,0,1,0,0,0
A000000183408,[단독기획]에뛰드 순정 약산성 5.5 진정 토너 700ml 대용량 기획(350ml+리필350ml),1,0,0,0,0
A000000175354,[NEW]닥터자르트 세라마이딘 스킨 베리어 세럼 토너 150ml,1,1,0,0,0
A000000158616,디오디너리 글리코릭 애시드 7% 토닝 솔루션 240ml,0,0,0,0,0
A000000104007,아벤느 젠틀 토닝 로션 (본품200ml+100ml 추가 증정) ,0,1,0,0,0
A000000183371,[1+1기획] 구달 맑은 어성초 진정 수분 토너 300ml 기획(+300ml 리필),1,0,0,0,0
A000000148391,[증량] 아누아 어성초 77 토너 500ml ,1,0,0,0,0
A000000190395,[피지진정]넘버즈인 1번 진정 맑게담은 청초토너 300ml 리필기획(+300ml 증정),1,0,0,0,0
A000000004434,바이오더마 하이드라비오 토너 250ml,1,0,0,0,0
A000000191956,[이진욱PICK]오딧세이 챕터파이브 안티옥시던트 라이트하우스 2종 택1 (토너/모이스처라이저),1,0,0,0,0
A000000187420,[1+1][구름토너] 마몽드 블루 아줄렌 클라우드 토너 150ml 기획 (+150ml 리필 추가 증정),1,0,0,0,0
A000000150467,식물나라 위치하젤 모공 토너 500ml,1,0,0,0,0
A000000146589,아비브 어성초 카밍 토너 스킨부스터 200ml,1,0,0,0,0
A000000173589,[탄력광채] 넘버즈인 3번 결광가득 에센스 토너 300ml 대용량 기획,1,1,0,0,0
A000000184771,비욘드 엔젤아쿠아 보습장벽 토너 500ml,1,0,0,0,0
A000000163417,[국민미스트 대용량 토너 VER] 달바 화이트 트러플 퍼스트 아로마틱 토너 155ml,1,0,0,0,0
A000000189181,[NEW]브링그린 티트리시카수딩토너 500mL한정기획(+100mL증정),1,0,0,0,0
A000000137502,코스알엑스 퓨어핏 시카 토너 150ml,1,0,0,0,0
A000000113806,[응급진정토닉] 아이소이 아크니닥터 1st 컨트롤 토닉 90ml,1,0,0,0,0
A000000129474,코스알엑스 풀핏 프로폴리스 시너지 토너 280ml,1,0,0,0,0
A000000191239,코스알엑스 풀핏 프로폴리스 시너지 토너 280ml 더블기획,1,0,0,0,0
A000000189488,[리뉴업] 더랩바이블랑두 저분자 히알루론산 딥 토너 200ml + 50ml 기획,1,0,0,0,0
A000000170518,닥터지 레드 블레미쉬 포 맨 멀티 수딩 토너 200ml 보습기획세트 (+올인원크림 30ml),1,0,1,0,0
A000000165266,아이디얼포맨 프레시 애프터쉐이브 수딩토너 260ml,1,0,0,0,0
A000000176320,메이크프렘 인테카 수딩 토너 200ml,1,0,0,0,0
A000000171132,[대용량] 피캄 베리어 사이클 락토P 토너 500ml,1,0,0,0,0
A000000149524,바이오힐보 비타민 히알루로닉 앰플토너 150ml,1,1,0,0,0
A000000124507,클럽맨피노드 오리지날 에프터쉐이브로션 177ml,0,1,0,0,0
A000000180474,[대용량기획] 토리든 다이브인 저분자 히알루론산 토너 500ml 기획 (+화장솜 60매 증정),1,0,0,0,0
A000000163493,라운드랩 포 맨 자작나무 수분 토너 200ml,1,0,0,0,0
A000000178514,[포니 pick] 코스톡 타임리스 에센스스킨 200ml,1,1,0,0,0
A000000174023,[NEW] 닥터지 레드 블레미쉬 클리어 모이스처 토너세트 (본품 300ml+크림30ml),1,0,1,0,0
A000000113195,바이오더마 세비엄 로션 200ml,0,1,0,0,0
A000000139347,라로슈포제 똘러리앙 울트라 로션 200ML,0,1,0,0,0
A000000144551,하다라보 고쿠쥰 로션170ml,0,1,0,0,0
A000000182686,에스트라 테라크네365 하이드로 액티브 토너 200ml,1,0,0,0,0
A000000148899,피지오겔 DMT 에센스 인 토너 200ml,1,1,0,0,0
A000000164211,피지오겔 레드수딩 시카밸런스 토너 200ml,1,0,0,0,0
A000000010474,라로슈포제 에빠끌라 H 토너 200ml (복합성/건성 피부),1,0,0,0,0
A000000169302,리얼베리어 인텐스 모이스처 토너 300ml,1,0,0,0,0
A000000180024,[NEW] 라로슈포제 시카플라스트 B5 스프레이 100ml,1,0,0,0,0
A000000179544,[늘이농 PICK] 비플레인 시카테롤 토너 200ml,1,0,0,0,0
A000000129443,이즈앤트리 히아루론산 토너 200ml,1,0,0,0,0
A000000163656,닥터지 더모이스처 배리어 D 리퀴드 토너세트(200ml+30ml),1,0,0,0,0
A000000175815,[고이진 PICK] 인터미션 레스트 업 세럼 스킨 200ml,1,1,0,0,0
A000000184965,피캄 베리어 사이클 락토P 토너200ml 기획(+화장솜 증정),1,0,0,0,0
A000000167276,피캄 베리어 사이클 락토P 토너 200ml,1,0,0,0,0
A000000124502,클럽맨리저브 위스키우즈 에프터쉐이브 177ml,0,0,0,0,0
A000000147964,바이오힐보 프로바이오덤 리페어 스킨소프너 150mL,1,0,0,0,0
A000000016873,유리아쥬 제모스 토너 250ml,1,0,0,0,0
A000000180684,성분에디터 그린토마토 포어 리프팅 앰플 토너 350ml,1,1,0,0,0
A000000121246,싸이닉 더 심플 카밍 토너 145ml,1,0,0,0,0
A000000153859,아이소이 모이스춰닥터 장수진 수분토너 130ml,1,0,0,0,0
A000000176512,트러블레스 마일드 클리어 토너 에센스 200ml,1,1,0,0,0
A000000147360,땡큐파머 강화교동쌀 맑음 에센셜토너 200ml,1,0,0,0,0
A000000140344,싸이닉 더 심플 카밍 토너 더블 기획 (300ml+300ml),1,0,0,0,0
A000000163519,플리프 시카-알로에 프레쉬 스킨 200ml,1,0,0,0,0
A000000188047,브링그린 대나무히알루수분토너250mL_NEW,1,0,0,0,0
A000000158322,원씽 나이아신아마이드 10%,0,0,0,0,0
A000000176677,[종석 pick]다슈 맨즈 아쿠아 딥 포텐 토너 153ml 기획(+로션30ml 증정),1,1,0,0,0
A000000180617,[단독기획] 스킨푸드 캐롯 카로틴 수딩 토너 300ml+200ml,1,0,0,0,0
A000000180475,아비브 어성초 카밍 토너 스킨부스터 500ml+화장솜 30매 증정 기획,1,0,0,0,0
A000000011268,아벤느 클리낭스 매트 매티파잉 토너 200ml,1,0,0,0,0
A000000182369,[NEW] 닥터지 레드 블레미쉬 클리어 수딩 토너 300ml+300ml 듀오기획,1,0,0,0,0
A000000181475,메이크프렘 인테카 진정 토너 200ml 기획 (+100ml 리필팩+인테카 크림 31ml),1,0,1,0,0
A000000016751,라끄베르 옴므리차지 애프터쉐이브 185ml,0,0,0,0,0
A000000179259,랩시리즈 데일리 레스큐 워터 로션 200ml 기획세트 (30ml*3 증정),0,1,0,0,0
A000000177795,[올영단독]닥터자르트 세라마이딘 스킨 베리어 세럼 토너 기획(150mL+크림7mL*2),1,1,1,0,0
A000000005766,[저자극 유분케어] 유세린 더모퓨리파이어 토너 200ml,1,0,0,0,0
A000000175930,[몬스타엑스 민혁 PICK]플로운 홀리바질 스킨 컨트롤러 토너 200ml,1,0,0,0,0
A000000128107,닥터자르트 컨트롤에이 티트리먼트 토너 120ml (티트리 약산성 토너),1,0,0,0,0
A000000178001,에스트라 에이시카365 수분진정결토너 250ml,1,0,0,0,0
A000000179255,[단독기획]센텔리안24 마데카 데일리 리페어 토너 기획 (150ml+50ml),1,0,0,0,0
A000000124509,클럽맨피노드 머스크 에프터쉐이브코롱 177ml,0,0,0,0,0
A000000007413,아이소이 내피부 속에 마르지 않는 옹달샘 촉촉스킨 130ml ,1,0,0,0,0
A000000188048,브링그린 대나무히알루수분토너500mL_NEW,1,0,0,0,0
A000000115420,셀퓨전씨 트리악 pH 컨디션 토너 200ml,1,0,0,0,0
A000000188086,아비브 어성초 카밍 토너 스킨부스터 250ml 기획(+250ml 리필증정),1,0,0,0,0
A000000115384,로벡틴 시카케어 퓨리파잉 토너 260ml,1,0,0,0,0
A000000188990,[온라인용]브링그린 티트리시카수딩토너&크림세트_NEW,1,0,1,0,0
A000000162273,[2배용량] 코스알엑스 퓨어핏 시카 토너 대용량 300ml (스킨팩화장솜 40매 증정),1,0,0,0,0
A000000158369,[화해1위] 에스네이처 아쿠아 오아시스 토너 300ml,1,0,0,0,0
A000000143195,아이디얼 포맨 퍼펙트 스킨 150ml,1,0,0,0,0
A000000163734,[이동욱 PICK] 더마펌 모이스트 베리어 부스팅 토너 M4 200ml(민감보습),1,0,0,0,0
A000000160817,셀리맥스 더 리얼 노니 수분 밸런싱 토너 320ml,1,0,0,0,0
A000000160562,크리니크 클래리파잉 로션 투와이스 어 데이 엑스폴리에이터 2/3 200ml,0,1,0,0,0
A000000159783,[단독기획] 토니모리 원더 세라마이드 모찌 토너 (본품500ml+100ml),1,0,0,0,0
A000000157294,유리아쥬 제모스 토너 (본품500ml+250ml 추가 증정),1,0,0,0,0
A000000156959,폴라초이스 스킨 퍼펙팅 바하 리퀴드 각질제거제 더블 기획 (118ml+118ml),1,0,0,0,0
A000000156512,더마펌 울트라 수딩 토너 R4 200ml (수분진정),1,0,0,0,0
A000000154540,원씽 병풀 추출물 토너 150ml ,1,0,0,0,0
A000000154538,원씽 인진쑥 추출물 토너 150ml,1,0,0,0,0
A000000164474,플리프 시카-알로에 프레쉬 스킨 200ml 기획세트 (+50ml 증정),1,0,0,0,0
A000000173332,[한정기획] 피지오겔 DMT 에센스 인 토너 200ml 기획(+50ml 추가 증정),1,1,0,0,0
A000000169971,[단독기획] 아누아 어성초 77 수딩 토너 350ml 기획(+화장솜 증정),1,0,0,0,0
A000000151356,셀퓨전씨 약산성 패리어 토너 300ml,1,0,0,0,0
A000000104169,크리니크 클래리파잉 로션 투와이스 어 데이 엑스폴리에이터 3 200ml,0,1,0,0,0
A000000129444,[대용량] 이즈앤트리 히아루론산 토너 400ml,1,0,0,0,0
A000000148252,라운드랩 자작나무 수분 토너 300ml,1,0,0,0,0
A000000145277,[유튜버추천] 닥터디퍼런트 스케일링 토너 200ml (지성용),1,0,0,0,0
A000000137388,아크네스 포맨 퍼펙트 스킨 200ml,1,0,0,0,0
A000000136077,마녀공장 비피다 바이옴 앰플 토너 400ml ,1,1,0,0,0
A000000143228,메이크프렘 세이프 미 릴리프 에센스 토너 400ml,1,1,0,0,0
A000000153418,[증량] 하다라보 고쿠쥰 로션 500ml,0,1,0,0,0
A000000170038,닥터지 에이클리어 밸런싱 토너 200ml 기획 (+화장솜),1,0,0,0,0
A000000169918,더바디샵 티트리 오일 10ml,0,0,0,1,0
A000000169911,더바디샵 티트리 오일 20ml,0,0,0,1,0
A000000169683,[1+1 기획] 차앤박(CNP) 아쿠아 수딩 토너 1+1 기획,1,0,0,0,0
A000000174619,데이퍼센트 밀키 모이스쳐 젤리 스킨 210ml,1,0,0,0,0
A000000163512,식물나라 카렌둘라 진정 토너 500ml (AD),1,0,0,0,0
A000000141900,[1+1 모공케어] 유세린 더머토클린 클래리파잉 토너 더블기획 (200ml+200ml),1,0,0,0,0
A000000163510,비욘드 엔젤아쿠아 수분 진정 토너 500ml (비건),1,0,0,0,0
A000000137657,라네즈옴므 액티브워터 스킨 180ml,1,0,0,0,0
A000000166492,수이스킨 어린새싹 클린 토너 더블 기획세트 ,1,0,0,0,0
A000000139057,아벤느 이드랑스 딥 모이스트로션 200ml,0,1,0,0,0
